4/2/2018, 5:06:00 AM 20180401-20180401
MD[1]: 5, profit=16
MD[2]: 5, profit=21
MD[3]: 74, profit=1406
MD[sum]: 84, profit=0

4/3/2018, 4:00:18 AM 20180402-20180402
MD[1]: 6, profit=35
MD[2]: 3, profit=-19
MD[3]: 76, profit=1444
MD[sum]: 85, profit=0

4/4/2018, 12:02:03 PM 20180403-20180403
MD[1]: 3, profit=-16
MD[2]: 1, profit=-53
MD[3]: 72, profit=1368
MD[sum]: 76, profit=0

4/5/2018, 12:24:52 PM 20180404-20180404
MD[1]: 7, profit=50
MD[2]: 3, profit=-23
MD[3]: 80, profit=1520
MD[sum]: 90, profit=0

4/6/2018, 12:40:23 PM 20180405-20180405
MD[1]: 2, profit=-60
MD[2]: 6, profit=22
MD[3]: 92, profit=1748
MD[sum]: 100, profit=0

4/8/2018, 1:57:01 AM 20180406-20180406
MD[1]: 3, profit=-20
MD[2]: 6, profit=43
MD[3]: 71, profit=1349
MD[sum]: 80, profit=0

4/8/2018, 1:57:08 AM 20180407-20180407
MD[1]: 6, profit=36
MD[2]: 6, profit=42
MD[3]: 72, profit=1368
MD[sum]: 84, profit=0

4/9/2018, 9:13:23 AM 20180408-20180408
MD[1]: 5, profit=20
MD[2]: 2, profit=-35
MD[3]: 73, profit=1387
MD[sum]: 80, profit=0

4/10/2018, 3:48:29 PM 20180409-20180409
MD[1]: 5, profit=19
MD[2]: 2, profit=-36
MD[3]: 74, profit=1406
MD[sum]: 81, profit=0

4/12/2018, 1:08:06 PM 20180410-20180410
MD[1]: 2, profit=-45
MD[2]: 2, profit=-43
MD[3]: 81, profit=1539
MD[sum]: 85, profit=0

4/12/2018, 1:08:17 PM 20180411-20180411
MD[1]: 5, profit=3
MD[2]: 5, profit=8
MD[3]: 87, profit=1653
MD[sum]: 97, profit=0

4/13/2018, 1:14:11 PM 20180412-20180412
MD[1]: 6, profit=19
MD[2]: 5, profit=5
MD[3]: 90, profit=1710
MD[sum]: 101, profit=0

4/15/2018, 1:45:05 AM 20180413-20180413
MD[1]: 5, profit=8
MD[2]: 2, profit=-47
MD[3]: 85, profit=1615
MD[sum]: 92, profit=0

4/15/2018, 1:45:13 AM 20180414-20180414
MD[1]: 8, profit=73
MD[2]: 4, profit=1
MD[3]: 75, profit=1425
MD[sum]: 87, profit=0

4/18/2018, 2:01:06 PM 20180415-20180415
MD[1]: 2, profit=-45
MD[2]: 4, profit=-3
MD[3]: 79, profit=1501
MD[sum]: 85, profit=0

4/18/2018, 2:01:14 PM 20180416-20180416
MD[1]: 1, profit=-62
MD[2]: 4, profit=-1
MD[3]: 77, profit=1463
MD[sum]: 82, profit=0

4/18/2018, 2:01:20 PM 20180417-20180417
MD[1]: 3, profit=-36
MD[2]: 12, profit=147
MD[3]: 81, profit=1539
MD[sum]: 96, profit=0

4/19/2018, 11:18:06 AM 20180418-20180418
MD[1]: 4, profit=-12
MD[2]: 3, profit=-28
MD[3]: 85, profit=1615
MD[sum]: 92, profit=0

4/21/2018, 3:08:29 PM 20180419-20180419
MD[1]: 5, profit=14
MD[2]: 4, profit=-1
MD[3]: 77, profit=1463
MD[sum]: 86, profit=0

4/21/2018, 3:08:37 PM 20180420-20180420
MD[1]: 6, profit=30
MD[2]: 6, profit=36
MD[3]: 78, profit=1482
MD[sum]: 90, profit=0

4/27/2018, 2:28:26 PM 20180421-20180421
MD[1]: 5, profit=24
MD[2]: 3, profit=-11
MD[3]: 68, profit=1292
MD[sum]: 76, profit=0

4/27/2018, 2:28:31 PM 20180422-20180422
MD[1]: 2, profit=-46
MD[2]: 4, profit=-4
MD[3]: 80, profit=1520
MD[sum]: 86, profit=0

4/27/2018, 2:28:35 PM 20180423-20180423
MD[1]: 6, profit=27
MD[2]: 7, profit=53
MD[3]: 80, profit=1520
MD[sum]: 93, profit=0

4/27/2018, 2:28:48 PM 20180424-20180424
MD[1]: 6, profit=18
MD[2]: 5, profit=4
MD[3]: 91, profit=1729
MD[sum]: 102, profit=0

4/27/2018, 2:28:53 PM 20180425-20180425
MD[1]: 6, profit=36
MD[2]: 1, profit=-58
MD[3]: 77, profit=1463
MD[sum]: 84, profit=0

4/27/2018, 2:28:58 PM 20180426-20180426
MD[1]: 5, profit=10
MD[2]: 3, profit=-25
MD[3]: 82, profit=1558
MD[sum]: 90, profit=0

5/1/2018, 2:53:20 PM 20180427-20180427
MD[1]: 4, profit=-12
MD[2]: 3, profit=-28
MD[3]: 85, profit=1615
MD[sum]: 92, profit=0

5/1/2018, 2:53:26 PM 20180428-20180428
MD[1]: 2, profit=-38
MD[2]: 1, profit=-56
MD[3]: 75, profit=1425
MD[sum]: 78, profit=0

5/1/2018, 2:53:31 PM 20180429-20180429
MD[1]: 4, profit=-7
MD[2]: 3, profit=-23
MD[3]: 80, profit=1520
MD[sum]: 87, profit=0

5/1/2018, 2:53:37 PM 20180430-20180430
MD[1]: 8, profit=67
MD[2]: 6, profit=35
MD[3]: 79, profit=1501
MD[sum]: 93, profit=0
